"id","category","startDate","endDate","description","ongoing","parameter_group","links","ooi_ref_des","ooi_deployment_id","ooi_stream_name","ooi_stream_method","deployment_location","instrument_asset_id","deployment_cruise_id","instrument_serial_no","instrument_make_model","median_time_interval_ms","instrument_calibration_date","ooi_annotation_id"
21880,"Deployment","2014-12-14T18:53:00Z","2014-12-28T16:30:00Z","Deployment 0001 - No Data Available","","None set",,"CP03ISSM-SBD12-04-PCO2AA000","deployment0001","","","","","","","","","",""
21881,"Deployment","2015-05-09T00:57:00Z","2015-10-21T18:50:00Z","Deployment 0002 - No Data Available","","None set",,"CP03ISSM-SBD12-04-PCO2AA000","deployment0002","","","","","","","","","",""
21882,"Deployment","2015-10-21T17:44:00Z","2016-05-14T13:45:00Z","Deployment 0003 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.36472°N -70.88837°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0003.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0003_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0003","pco2a_a_dcl_instrument_water","telemetered","40.36472°N -70.88837°E 0m depth","CGINS-PCO2AA-35260","AT31","35-260-50A","Pro-Oceanus pCO2-pro","","",""
21883,"Deployment","2015-10-21T17:44:00Z","2016-05-14T13:45:00Z","Deployment 0003 (Recovered from Host from pco2a_a_dcl_instrument_water_recovered, Deployed at: 40.36472°N -70.88837°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water_recovered-recovered_host-deployment0003.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/deployment0003_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0003","pco2a_a_dcl_instrument_water_recovered","recovered_host","40.36472°N -70.88837°E 0m depth","CGINS-PCO2AA-35260","AT31","35-260-50A","Pro-Oceanus pCO2-pro","","",""
21884,"Deployment","2016-05-28T14:43:00Z","2016-10-15T12:14:00Z","Deployment 0004 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.35945°N -70.88498°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0004.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0004_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0004","pco2a_a_dcl_instrument_water","telemetered","40.35945°N -70.88498°E 0m depth","CGINS-PCO2AA-35264","AR4","35-264-50A","Pro-Oceanus pCO2-pro","","",""
21885,"Deployment","2016-05-28T14:43:00Z","2016-10-15T12:14:00Z","Deployment 0004 (Recovered from Host from pco2a_a_dcl_instrument_water_recovered, Deployed at: 40.35945°N -70.88498°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water_recovered-recovered_host-deployment0004.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/deployment0004_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0004","pco2a_a_dcl_instrument_water_recovered","recovered_host","40.35945°N -70.88498°E 0m depth","CGINS-PCO2AA-35264","AR4","35-264-50A","Pro-Oceanus pCO2-pro","","",""
21886,"Deployment","2016-10-11T13:39:00Z","2017-06-15T15:56:00Z","Deployment 0005 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.36192°N -70.87827°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0005.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0005_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0005","pco2a_a_dcl_instrument_water","telemetered","40.36192°N -70.87827°E 0m depth","CGINS-PCO2AA-35262","AR8","35-262-50A","Pro-Oceanus pCO2-pro","","",""
21887,"Deployment","2016-10-11T13:39:00Z","2017-06-15T15:56:00Z","Deployment 0005 (Recovered from Host from pco2a_a_dcl_instrument_water_recovered, Deployed at: 40.36192°N -70.87827°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water_recovered-recovered_host-deployment0005.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/deployment0005_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0005","pco2a_a_dcl_instrument_water_recovered","recovered_host","40.36192°N -70.87827°E 0m depth","CGINS-PCO2AA-35262","AR8","35-262-50A","Pro-Oceanus pCO2-pro","","",""
21888,"Deployment","2017-06-15T13:43:00Z","2017-11-01T14:17:00Z","Deployment 0006 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.36706667°N -70.88161667°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0006.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0006_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0006","pco2a_a_dcl_instrument_water","telemetered","40.36706667°N -70.88161667°E 0m depth","CGINS-PCO2AA-35260","AR18","35-260-50A","Pro-Oceanus pCO2-pro","","",""
21889,"Deployment","2017-06-15T13:43:00Z","2017-11-01T14:17:00Z","Deployment 0006 (Recovered from Host from pco2a_a_dcl_instrument_water_recovered, Deployed at: 40.36706667°N -70.88161667°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water_recovered-recovered_host-deployment0006.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/deployment0006_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0006","pco2a_a_dcl_instrument_water_recovered","recovered_host","40.36706667°N -70.88161667°E 0m depth","CGINS-PCO2AA-35260","AR18","35-260-50A","Pro-Oceanus pCO2-pro","","",""
21891,"Deployment","2017-11-01T12:22:00Z","2018-03-28T16:56:00Z","Deployment 0007 (Recovered from Host from pco2a_a_dcl_instrument_water_recovered, Deployed at: 40.35898333°N -70.88546667°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water_recovered-recovered_host-deployment0007.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/deployment0007_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0007","pco2a_a_dcl_instrument_water_recovered","recovered_host","40.35898333°N -70.88546667°E 0m depth","CGINS-PCO2AA-34222","AR24","34-222-50A","Pro-Oceanus pCO2-pro","","",""
21890,"Deployment","2017-11-01T12:22:00Z","2018-03-28T16:56:00Z","Deployment 0007 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.35898333°N -70.88546667°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0007.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0007_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0007","pco2a_a_dcl_instrument_water","telemetered","40.35898333°N -70.88546667°E 0m depth","CGINS-PCO2AA-34222","AR24","34-222-50A","Pro-Oceanus pCO2-pro","","",""
21892,"Deployment","2018-03-25T15:27:00Z","2018-10-26T19:52:00Z","Deployment 0008 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.36718°N -70.88215°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0008.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0008_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0008","pco2a_a_dcl_instrument_water","telemetered","40.36718°N -70.88215°E 0m depth","CGINS-PCO2AA-33154","AR28","33-154-50A","Pro-Oceanus pCO2-pro","","",""
21893,"Deployment","2018-03-25T15:27:00Z","2018-10-26T19:52:00Z","Deployment 0008 (Recovered from Host from pco2a_a_dcl_instrument_water_recovered, Deployed at: 40.36718°N -70.88215°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water_recovered-recovered_host-deployment0008.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/deployment0008_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0008","pco2a_a_dcl_instrument_water_recovered","recovered_host","40.36718°N -70.88215°E 0m depth","CGINS-PCO2AA-33154","AR28","33-154-50A","Pro-Oceanus pCO2-pro","","",""
21875,"Status","2018-06-18T00:00:00Z","2018-09-10T00:00:00Z","[not_operational] Deployment 8: Instrument was disabled 2018-06-18 through 2018-09-10 due to power generation issues on the buoy. No telemetered or recovered data expected for this time period.","","None set",,"CP03ISSM-SBD12-04-PCO2AA000","","","","","","","","","","","1824"
